sampleTime, isHotThroughputUtilization
+1.1575e+07ns, 1
+1.16e+07ns, 1
+1.1625e+07ns, 1
+1.165e+07ns, 1
+1.1675e+07ns, 1
+1.17e+07ns, 1
+1.1725e+07ns, 1
+1.175e+07ns, 1
+1.1775e+07ns, 1
+1.18e+07ns, 1
+1.1825e+07ns, 1
+1.185e+07ns, 1
+1.1875e+07ns, 1
+1.19e+07ns, 1
+1.1925e+07ns, 1
+1.195e+07ns, 1
+1.1975e+07ns, 1
+1.2e+07ns, 1
+1.2025e+07ns, 1
+1.205e+07ns, 1
+1.2075e+07ns, 1
+1.21e+07ns, 1
+1.2125e+07ns, 1
+1.215e+07ns, 1
+1.2175e+07ns, 1
+1.22e+07ns, 1
+1.2225e+07ns, 1
+1.225e+07ns, 1
+1.2275e+07ns, 1
+1.23e+07ns, 1
+1.2325e+07ns, 1
+1.235e+07ns, 1
+1.2375e+07ns, 1
+1.24e+07ns, 1
+1.2425e+07ns, 1
+1.245e+07ns, 1
+1.2475e+07ns, 1
+1.25e+07ns, 1
+1.2525e+07ns, 1
+1.255e+07ns, 1
+1.2575e+07ns, 1
+1.26e+07ns, 1
+1.2625e+07ns, 1
+1.265e+07ns, 1
+1.2675e+07ns, 1
+1.27e+07ns, 1
+1.2725e+07ns, 1
+1.275e+07ns, 1
+1.2775e+07ns, 1
+1.28e+07ns, 1
+1.2825e+07ns, 1
+1.285e+07ns, 1
+1.2875e+07ns, 1
+1.29e+07ns, 1
+1.2925e+07ns, 1
+1.295e+07ns, 1
+1.2975e+07ns, 1
+1.3e+07ns, 1
+1.3025e+07ns, 1
+1.305e+07ns, 1
+1.3075e+07ns, 1
+1.31e+07ns, 1
+1.3125e+07ns, 1
+1.315e+07ns, 1
+1.3175e+07ns, 1
+1.32e+07ns, 1
+1.3225e+07ns, 1
+1.325e+07ns, 1
+1.3275e+07ns, 1
+1.33e+07ns, 1
+1.3325e+07ns, 1
+1.335e+07ns, 1
+1.3375e+07ns, 1
+1.34e+07ns, 1
+1.3425e+07ns, 1
+1.345e+07ns, 1
+1.3475e+07ns, 1
+1.35e+07ns, 1
+1.3525e+07ns, 1
+1.355e+07ns, 1
+1.3575e+07ns, 1
+1.36e+07ns, 1
+1.3625e+07ns, 1
+1.365e+07ns, 1
+1.3675e+07ns, 1
+1.37e+07ns, 1
+1.3725e+07ns, 1
+1.375e+07ns, 1
+1.3775e+07ns, 1
+1.38e+07ns, 1
+1.3825e+07ns, 1
+1.385e+07ns, 1
+1.3875e+07ns, 1
+1.39e+07ns, 0
+1.3925e+07ns, 1
+1.395e+07ns, 1
+1.3975e+07ns, 1
+1.4e+07ns, 1
+1.4025e+07ns, 1
+1.405e+07ns, 1
+1.4075e+07ns, 1
+1.41e+07ns, 1
+1.4125e+07ns, 0
+1.415e+07ns, 1
+1.4175e+07ns, 1
+1.42e+07ns, 1
+1.4225e+07ns, 0
+1.425e+07ns, 1
+1.4275e+07ns, 1
+1.43e+07ns, 1
+1.4325e+07ns, 0
+1.435e+07ns, 1
+1.4375e+07ns, 0
+1.44e+07ns, 1
+1.4425e+07ns, 1
+1.445e+07ns, 0
+1.4475e+07ns, 1
+1.45e+07ns, 0
+1.4525e+07ns, 1
+1.455e+07ns, 1
+1.4575e+07ns, 1
+1.46e+07ns, 1
+1.4625e+07ns, 0
+1.465e+07ns, 1
+1.4675e+07ns, 1
+1.47e+07ns, 1
+1.4725e+07ns, 1
+1.475e+07ns, 1
+1.4775e+07ns, 0
+1.48e+07ns, 0
+1.4825e+07ns, 1
+1.485e+07ns, 0
+1.4875e+07ns, 1
+1.49e+07ns, 1
+1.4925e+07ns, 1
+1.495e+07ns, 1
+1.4975e+07ns, 1
+1.5e+07ns, 1
+1.5025e+07ns, 0
+1.505e+07ns, 1
+1.5075e+07ns, 1
+1.51e+07ns, 1
+1.5125e+07ns, 1
+1.515e+07ns, 1
+1.5175e+07ns, 0
+1.52e+07ns, 1
+1.5225e+07ns, 1
+1.525e+07ns, 1
+1.5275e+07ns, 1
+1.53e+07ns, 1
+1.5325e+07ns, 1
+1.535e+07ns, 1
+1.5375e+07ns, 1
+1.54e+07ns, 1
+1.5425e+07ns, 1
+1.545e+07ns, 1
+1.5475e+07ns, 1
+1.55e+07ns, 1
+1.5525e+07ns, 1
+1.555e+07ns, 0
+1.5575e+07ns, 1
+1.56e+07ns, 1
+1.5625e+07ns, 1
+1.565e+07ns, 1
+1.5675e+07ns, 1
+1.57e+07ns, 1
+1.5725e+07ns, 1
+1.575e+07ns, 1
+1.5775e+07ns, 1
+1.58e+07ns, 1
+1.5825e+07ns, 1
+1.585e+07ns, 1
+1.5875e+07ns, 1
+1.59e+07ns, 1
+1.5925e+07ns, 1
+1.595e+07ns, 1
+1.5975e+07ns, 1
+1.6e+07ns, 1
+1.6025e+07ns, 1
+1.605e+07ns, 1
+1.6075e+07ns, 1
+1.61e+07ns, 1
+1.6125e+07ns, 1
+1.615e+07ns, 1
+1.6175e+07ns, 0
+1.62e+07ns, 1
+1.6225e+07ns, 1
+1.625e+07ns, 1
+1.6275e+07ns, 1
+1.63e+07ns, 1
+1.6325e+07ns, 1
+1.635e+07ns, 1
+1.6375e+07ns, 1
+1.64e+07ns, 1
+1.6425e+07ns, 1
+1.645e+07ns, 1
+1.6475e+07ns, 1
+1.65e+07ns, 1
+1.6525e+07ns, 1
+1.655e+07ns, 1
+1.6575e+07ns, 1
+1.66e+07ns, 1
+1.6625e+07ns, 1
+1.665e+07ns, 0
+1.6675e+07ns, 1
+1.67e+07ns, 1
+1.6725e+07ns, 1
+1.675e+07ns, 1
+1.6775e+07ns, 1
+1.68e+07ns, 1
+1.6825e+07ns, 1
+1.685e+07ns, 1
+1.6875e+07ns, 1
+1.69e+07ns, 1
+1.6925e+07ns, 1
+1.695e+07ns, 1
+1.6975e+07ns, 1
+1.7e+07ns, 1
+1.7025e+07ns, 1
+1.705e+07ns, 1
+1.7075e+07ns, 1
+1.71e+07ns, 1
+1.7125e+07ns, 1
+1.715e+07ns, 1
+1.7175e+07ns, 1
+1.72e+07ns, 1
+1.7225e+07ns, 1
+1.725e+07ns, 1
+1.7275e+07ns, 1
+1.73e+07ns, 1
+1.7325e+07ns, 1
+1.735e+07ns, 1
+1.7375e+07ns, 1
+1.74e+07ns, 1
+1.7425e+07ns, 1
+1.745e+07ns, 1
+1.7475e+07ns, 1
+1.75e+07ns, 0
+1.7525e+07ns, 1
+1.755e+07ns, 1
+1.7575e+07ns, 1
+1.76e+07ns, 1
+1.7625e+07ns, 1
+1.765e+07ns, 1
+1.7675e+07ns, 1
+1.77e+07ns, 1
+1.7725e+07ns, 1
+1.775e+07ns, 1
+1.7775e+07ns, 1
+1.78e+07ns, 1
+1.7825e+07ns, 1
+1.785e+07ns, 1
+1.7875e+07ns, 1
+1.79e+07ns, 1
+1.7925e+07ns, 1
+1.795e+07ns, 1
+1.7975e+07ns, 1
+1.8e+07ns, 1
+1.8025e+07ns, 1
+1.805e+07ns, 1
+1.8075e+07ns, 1
+1.81e+07ns, 1
+1.8125e+07ns, 1
+1.815e+07ns, 1
+1.8175e+07ns, 1
+1.82e+07ns, 1
+1.8225e+07ns, 1
+1.825e+07ns, 1
+1.8275e+07ns, 1
+1.83e+07ns, 1
+1.8325e+07ns, 1
+1.835e+07ns, 0
+1.8375e+07ns, 1
+1.84e+07ns, 1
+1.8425e+07ns, 1
+1.845e+07ns, 1
+1.8475e+07ns, 1
+1.85e+07ns, 1
+1.8525e+07ns, 1
+1.855e+07ns, 1
+1.8575e+07ns, 1
+1.86e+07ns, 1
+1.8625e+07ns, 1
+1.865e+07ns, 1
+1.8675e+07ns, 1
+1.87e+07ns, 0
+1.8725e+07ns, 1
+1.875e+07ns, 1
+1.8775e+07ns, 0
+1.88e+07ns, 1
+1.8825e+07ns, 1
+1.885e+07ns, 0
+1.8875e+07ns, 0
+1.89e+07ns, 0
+1.8925e+07ns, 0
+1.895e+07ns, 1
+1.8975e+07ns, 1
+1.9e+07ns, 1
+1.9025e+07ns, 1
+1.905e+07ns, 1
+1.9075e+07ns, 1
+1.91e+07ns, 1
+1.9125e+07ns, 1
+1.915e+07ns, 1
+1.9175e+07ns, 1
+1.92e+07ns, 1
+1.9225e+07ns, 1
+1.925e+07ns, 1
+1.9275e+07ns, 1
+1.93e+07ns, 1
+1.9325e+07ns, 1
+1.935e+07ns, 1
+1.9375e+07ns, 1
+1.94e+07ns, 1
+1.9425e+07ns, 1
+1.945e+07ns, 1
+1.9475e+07ns, 1
+1.95e+07ns, 1
+1.9525e+07ns, 1
+1.955e+07ns, 1
+1.9575e+07ns, 0
+1.96e+07ns, 1
+1.9625e+07ns, 1
+1.965e+07ns, 1
