sampleTime, isHotThroughputUtilization,queueSize
+1.325e+07ns, 0,201
+1.3275e+07ns, 0,201
+1.33e+07ns, 0,201
+1.3325e+07ns, 0,201
+1.335e+07ns, 0,201
+1.3375e+07ns, 0,201
+1.34e+07ns, 0,201
+1.3425e+07ns, 0,201
+1.345e+07ns, 0,201
+1.3475e+07ns, 0,201
+1.35e+07ns, 0,201
+1.3525e+07ns, 0,201
+1.355e+07ns, 0,201
+1.3575e+07ns, 0,201
+1.36e+07ns, 0,201
+1.3625e+07ns, 0,201
+1.365e+07ns, 0,201
+1.3675e+07ns, 0,201
+1.37e+07ns, 0,201
+1.3725e+07ns, 0,201
+1.375e+07ns, 0,201
+1.3775e+07ns, 0,201
+1.38e+07ns, 0,201
+1.3825e+07ns, 0,201
+1.385e+07ns, 0,201
+1.3875e+07ns, 0,201
+1.39e+07ns, 0,201
+1.3925e+07ns, 0,201
+1.395e+07ns, 0,201
+1.3975e+07ns, 0,201
+1.4e+07ns, 0,201
+1.4025e+07ns, 0,201
+1.405e+07ns, 0,201
+1.4075e+07ns, 0,201
+1.41e+07ns, 0,201
+1.4125e+07ns, 0,201
+1.415e+07ns, 0,201
+1.4175e+07ns, 0,201
+1.42e+07ns, 0,201
+1.4225e+07ns, 0,201
+1.425e+07ns, 0,201
+1.4275e+07ns, 0,201
+1.43e+07ns, 0,201
+1.4325e+07ns, 0,201
+1.435e+07ns, 0,201
+1.4375e+07ns, 0,201
+1.44e+07ns, 0,201
+1.4425e+07ns, 0,201
+1.445e+07ns, 0,201
+1.4475e+07ns, 0,201
+1.45e+07ns, 0,201
+1.4525e+07ns, 0,201
+1.455e+07ns, 0,201
+1.4575e+07ns, 0,201
+1.46e+07ns, 0,201
+1.4625e+07ns, 0,201
+1.465e+07ns, 0,201
+1.4675e+07ns, 0,201
+1.47e+07ns, 0,201
+1.4725e+07ns, 0,201
+1.475e+07ns, 0,201
+1.4775e+07ns, 0,201
+1.48e+07ns, 0,201
+1.4825e+07ns, 0,201
+1.485e+07ns, 0,201
+1.4875e+07ns, 0,201
+1.49e+07ns, 0,201
+1.4925e+07ns, 0,201
+1.495e+07ns, 0,201
+1.4975e+07ns, 0,201
+1.5e+07ns, 0,201
+1.5025e+07ns, 0,201
+1.505e+07ns, 0,201
+1.5075e+07ns, 0,201
+1.51e+07ns, 0,201
+1.5125e+07ns, 0,201
+1.515e+07ns, 0,201
+1.5175e+07ns, 0,201
+1.52e+07ns, 0,201
+1.5225e+07ns, 0,201
+1.525e+07ns, 0,201
+1.5275e+07ns, 0,201
+1.53e+07ns, 0,201
+1.5325e+07ns, 0,201
+1.535e+07ns, 0,201
+1.5375e+07ns, 0,201
+1.54e+07ns, 0,201
+1.5425e+07ns, 0,201
+1.545e+07ns, 0,201
+1.5475e+07ns, 0,201
+1.55e+07ns, 0,201
+1.5525e+07ns, 0,201
+1.555e+07ns, 0,201
+1.5575e+07ns, 0,202
+1.56e+07ns, 0,203
+1.5625e+07ns, 0,208
+1.565e+07ns, 0,208
+1.5675e+07ns, 0,217
+1.57e+07ns, 0,218
+1.5725e+07ns, 0,218
+1.575e+07ns, 0,221
+1.5775e+07ns, 0,222
+1.58e+07ns, 0,224
+1.5825e+07ns, 0,225
+1.585e+07ns, 0,227
+1.5875e+07ns, 0,229
