[  0%] Building CXX object scratch/ECNMC/CMakeFiles/monitors_module.dir/monitors_module/PoissonSampler.cc.o
[  0%] Linking CXX static library ../../lib/libmonitors_module.a
[  0%] Linking CXX executable ns3.41-DatacenterSimulation-debug

Start Single Queue Simulation
Hosts and Switches IP addresses
Src: 0 Id:0 IP: 10.1.1.1
Src: 1 Id:1 IP: 10.1.2.1
Dst: 0 Id:2 IP: 10.2.1.1
Total preparing time = 993998 microsecond
Config Parameters
srcHostToSwitchLinkRate: 1000Mbps
hostToSwitchLinkDelay: 50us
bottleneckLinkRate: 1580.0Mbps
pctPacedBack: 0.8
enableSwitchECN: 1
enableECMP: 1
sampleRate: 4500
errorRate: 1.5e-05
dirName: forward
experiment: 1
trafficStartTime: 0.0
trafficStopTime: 0.9
steadyStartTime: 0.3
steadyEndTime: 0.8
packet_size,cdf
154,0.219011
155,0.219058
156,0.219327
157,0.219521
158,0.219804
159,0.219931
160,0.223358
161,0.223445
162,0.226643
163,0.226838
164,0.227637
165,0.227893
166,0.22841
167,0.229169
168,0.229505
169,0.229579
170,0.229727
171,0.229861
172,0.230231
173,0.230439
174,0.230661
175,0.230761
176,0.230869
177,0.230943
178,0.231205
179,0.231386
180,0.231695
181,0.231816
182,0.231971
183,0.233133
184,0.233241
185,0.233489
186,0.233852
187,0.234
188,0.234208
189,0.234262
190,0.23445
191,0.234537
192,0.234786
193,0.235075
194,0.235424
195,0.235572
196,0.235706
197,0.235814
198,0.236392
199,0.237594
200,0.237708
201,0.237782
202,0.237944
203,0.238044
204,0.238286
205,0.239066
206,0.239227
207,0.239328
208,0.239368
209,0.239489
210,0.240503
211,0.240718
212,0.240826
213,0.240906
214,0.241007
215,0.241659
216,0.24225
217,0.242385
218,0.242526
219,0.242586
220,0.242653
221,0.242747
222,0.242808
223,0.242888
224,0.242982
225,0.24303
226,0.244071
227,0.244178
228,0.244232
229,0.244286
230,0.24438
231,0.244985
232,0.245092
233,0.245126
234,0.245274
235,0.245334
236,0.245415
237,0.245441
238,0.245529
239,0.245589
240,0.245656
241,0.245757
242,0.245912
243,0.245999
244,0.2461
245,0.246416
246,0.24653
247,0.246913
248,0.247088
249,0.247195
250,0.247504
251,0.247571
252,0.247645
253,0.247773
254,0.247887
255,0.247961
256,0.248075
257,0.248142
258,0.24823
259,0.248404
260,0.248465
261,0.248512
262,0.2487
263,0.250924
264,0.250964
265,0.251461
266,0.251643
267,0.251858
268,0.252059
269,0.252086
270,0.252167
271,0.2522
272,0.252335
273,0.252409
274,0.252691
275,0.252792
276,0.252886
277,0.253013
278,0.253074
279,0.253242
280,0.253363
281,0.253423
282,0.253551
283,0.253611
284,0.254155
285,0.254182
286,0.254202
287,0.25427
288,0.254357
289,0.254438
290,0.254693
291,0.254834
292,0.255042
293,0.255163
294,0.255277
295,0.255815
296,0.255862
297,0.255889
298,0.255963
299,0.256003
300,0.256084
301,0.256278
302,0.256682
303,0.256742
304,0.256789
305,0.25689
306,0.257515
307,0.25771
308,0.25777
309,0.257938
310,0.25818
311,0.258536
312,0.258617
313,0.258899
314,0.259161
315,0.259221
316,0.259389
317,0.259436
318,0.259483
319,0.25955
320,0.259571
321,0.259624
322,0.259886
323,0.259954
324,0.260081
325,0.260128
326,0.260242
327,0.26035
328,0.260437
329,0.260504
330,0.260666
331,0.260787
332,0.260887
333,0.260914
334,0.261237
335,0.261284
336,0.261358
337,0.261418
338,0.261553
339,0.26162
340,0.26164
341,0.261707
342,0.261727
343,0.261841
344,0.261996
345,0.262036
346,0.26215
347,0.262251
348,0.262339
349,0.262419
350,0.262513
351,0.26258
352,0.262634
353,0.262695
354,0.262916
355,0.263037
356,0.263091
357,0.263239
358,0.263319
359,0.263454
360,0.263494
361,0.263528
362,0.263629
363,0.263676
364,0.263803
365,0.264085
366,0.264173
367,0.264226
368,0.264401
369,0.264462
370,0.26463
371,0.264972
372,0.265046
373,0.265174
374,0.265234
375,0.265335
376,0.266182
377,0.266249
378,0.266524
379,0.266565
380,0.266692
381,0.266739
382,0.26682
383,0.26686
384,0.266968
385,0.267015
386,0.267196
387,0.267324
388,0.267371
389,0.267451
390,0.267525
391,0.267626
392,0.26768
393,0.267754
394,0.267922
395,0.267989
396,0.268036
397,0.26819
398,0.268305
399,0.268338
400,0.268466
401,0.268533
402,0.268654
403,0.269225
404,0.269286
405,0.269306
406,0.269373
407,0.269447
408,0.269521
409,0.269574
410,0.269742
411,0.26989
412,0.269984
413,0.270065
414,0.270199
415,0.27026
416,0.270327
417,0.270374
418,0.270528
419,0.270576
420,0.270683
421,0.270743
422,0.270817
423,0.270844
424,0.270965
425,0.271012
426,0.271073
427,0.271106
428,0.271442
429,0.271503
430,0.271603
431,0.27163
432,0.271704
433,0.271751
434,0.271939
435,0.272027
436,0.272107
437,0.272154
438,0.272222
439,0.272376
440,0.272416
441,0.272477
442,0.272564
443,0.272611
444,0.272672
445,0.272752
